DEBUG | calculate | 2023-04-04 15:33:30,967 | 25 | Число успешно обработано: 23.0
DEBUG | calculate | 2023-04-04 15:33:32,466 | 27 | Число успешно обработано: 54.0
DEBUG | utils | 2023-04-04 15:33:32,466 | 26 | Результат операции plus 77.0
DEBUG | calculate | 2023-04-04 15:35:52,319 | 25 | Число успешно обработано: 45.0
DEBUG | calculate | 2023-04-04 15:36:11,196 | 25 | Число успешно обработано: 34.0
DEBUG | calculate | 2023-04-04 15:36:12,994 | 27 | Число успешно обработано: 0.0
DEBUG | calculate | 2023-04-04 16:16:32,825 | 25 | Число успешно обработано: 23.0
DEBUG | calculate | 2023-04-04 16:16:37,748 | 27 | Число успешно обработано: 53.0
DEBUG | utils | 2023-04-04 16:16:37,748 | 26 | Результат операции plus 76.0
DEBUG | app | 2023-04-04 16:40:57,912 | 25 | Число успешно обработано: 55.0
DEBUG | app | 2023-04-04 16:40:59,364 | 27 | Число успешно обработано: 22.0
DEBUG | utils | 2023-04-04 16:40:59,364 | 32 | Результат операции subtract 33.0
DEBUG | app | 2023-04-04 17:04:21,027 | 25 | Число успешно обработано: 4.0
DEBUG | app | 2023-04-04 17:04:22,765 | 27 | Число успешно обработано: 5.0
DEBUG | app | 2023-04-04 17:08:51,982 | 25 | Число успешно обработано: 2.0
DEBUG | app | 2023-04-04 17:08:53,323 | 27 | Число успешно обработано: 2.0
DEBUG | app | 2023-04-04 17:11:52,466 | 25 | Число успешно обработано: 12.0
DEBUG | app | 2023-04-04 17:11:54,384 | 27 | Число успешно обработано: 0.0
DEBUG | app | 2023-04-04 17:32:57,226 | 26 | Число успешно обработано: 44.0
DEBUG | app | 2023-04-04 17:32:59,416 | 28 | Число успешно обработано: 55.0
DEBUG | app | 2023-04-04 17:35:57,875 | 26 | Число успешно обработано: 22.0
DEBUG | app | 2023-04-04 17:35:59,770 | 28 | Число успешно обработано: 0.0
DEBUG | app | 2023-04-04 18:09:17,972 | 19 | Тест ascii фильтра - не должно отображаться
DEBUG | app | 2023-04-04 18:09:17,972 | 20 | test ascii filter - it should be visible
